alpha,c_sigma,helix_mean,helix_lo,helix_hi,orf_mean,orf_lo,orf_hi,orf_s42,orf_s200,orf_s201,n_helix
-2.0,-5.37,45.118,43.354,46.827,0.8833,0.88,0.89,0.88,0.88,0.89,795
0.0,0.0,43.76,42.086,45.554,0.8944,0.88,0.91,0.88,0.91,0.8933,805
1.0,2.685,43.587,41.854,45.28,0.8944,0.89,0.9033,0.89,0.9033,0.89,805
2.0,5.37,43.094,41.33,44.928,0.8978,0.8767,0.91,0.8767,0.9067,0.91,808
4.0,10.74,46.305,44.614,48.002,0.8978,0.89,0.9067,0.89,0.9067,0.8967,808
8.0,21.4801,56.637,54.714,58.552,0.8944,0.8767,0.9133,0.8933,0.9133,0.8767,805
12.0,32.2201,52.099,50.125,54.057,0.7878,0.75,0.83,0.75,0.7833,0.83,709
16.0,42.9601,70.811,68.491,73.216,0.6478,0.62,0.6767,0.6467,0.62,0.6767,583
24.0,64.4402,86.015,84.667,87.159,0.7667,0.74,0.8,0.76,0.74,0.8,690
32.0,85.9203,83.71,82.278,85.094,0.8156,0.8067,0.8233,0.8067,0.8233,0.8167,734
