[dl] total=8442062570 (8.44GB) parts=24
[dl] 0.00/8.44 GB (0.0 MB/s)
[dl] 0.03/8.44 GB (2.0 MB/s)
[dl] 0.05/8.44 GB (1.7 MB/s)
[dl] 0.05/8.44 GB (1.2 MB/s)
[dl] 0.07/8.44 GB (1.2 MB/s)
[dl] 0.08/8.44 GB (1.0 MB/s)
[dl] 0.09/8.44 GB (1.0 MB/s)
[dl] 0.10/8.44 GB (1.0 MB/s)
[dl] 0.10/8.44 GB (0.9 MB/s)
[dl] 0.12/8.44 GB (0.9 MB/s)
[dl] 0.13/8.44 GB (0.9 MB/s)
[dl] 0.13/8.44 GB (0.8 MB/s)
[dl] 0.15/8.44 GB (0.8 MB/s)
[dl] 0.15/8.44 GB (0.8 MB/s)
[dl] 0.17/8.44 GB (0.8 MB/s)
[dl] 0.18/8.44 GB (0.8 MB/s)
[dl] 0.18/8.44 GB (0.7 MB/s)
[dl] 0.20/8.44 GB (0.8 MB/s)
[dl] 0.20/8.44 GB (0.8 MB/s)
[dl] 0.21/8.44 GB (0.7 MB/s)
[dl] 0.23/8.44 GB (0.8 MB/s)
[dl] 0.23/8.44 GB (0.7 MB/s)
[dl] 0.24/8.44 GB (0.7 MB/s)
[dl] 0.25/8.44 GB (0.7 MB/s)
[dl] 0.26/8.44 GB (0.7 MB/s)
[dl] 0.27/8.44 GB (0.7 MB/s)
[dl] 0.28/8.44 GB (0.7 MB/s)
[dl] 0.29/8.44 GB (0.7 MB/s)
[dl] 0.30/8.44 GB (0.7 MB/s)
[dl] 0.30/8.44 GB (0.7 MB/s)
[dl] 0.31/8.44 GB (0.7 MB/s)
[dl] 0.32/8.44 GB (0.7 MB/s)
[dl] 0.33/8.44 GB (0.7 MB/s)
[dl] 0.34/8.44 GB (0.7 MB/s)
[dl] 0.35/8.44 GB (0.7 MB/s)
[dl] 0.35/8.44 GB (0.7 MB/s)
[dl] 0.36/8.44 GB (0.7 MB/s)
[dl] 0.37/8.44 GB (0.7 MB/s)
[dl] 0.38/8.44 GB (0.7 MB/s)
[dl] 0.38/8.44 GB (0.7 MB/s)
[dl] 0.40/8.44 GB (0.7 MB/s)
[dl] 0.40/8.44 GB (0.7 MB/s)
[dl] 0.42/8.44 GB (0.7 MB/s)
[dl] 0.43/8.44 GB (0.7 MB/s)
[dl] 0.44/8.44 GB (0.7 MB/s)
[dl] 0.45/8.44 GB (0.7 MB/s)
[dl] 0.46/8.44 GB (0.7 MB/s)
[dl] 0.47/8.44 GB (0.7 MB/s)
[dl] 0.48/8.44 GB (0.7 MB/s)
[dl] 0.49/8.44 GB (0.7 MB/s)
[dl] 0.50/8.44 GB (0.7 MB/s)
[dl] 0.51/8.44 GB (0.7 MB/s)
[dl] 0.52/8.44 GB (0.7 MB/s)
[dl] 0.53/8.44 GB (0.7 MB/s)
[dl] 0.54/8.44 GB (0.7 MB/s)
[dl] 0.55/8.44 GB (0.7 MB/s)
[dl] 0.56/8.44 GB (0.7 MB/s)
[dl] 0.57/8.44 GB (0.7 MB/s)
[dl] 0.58/8.44 GB (0.7 MB/s)
[dl] 0.58/8.44 GB (0.7 MB/s)
[dl] 0.59/8.44 GB (0.7 MB/s)
[dl] 0.60/8.44 GB (0.7 MB/s)
[dl] 0.61/8.44 GB (0.7 MB/s)
[dl] 0.62/8.44 GB (0.7 MB/s)
[dl] 0.63/8.44 GB (0.7 MB/s)
[dl] 0.64/8.44 GB (0.7 MB/s)
[dl] 0.65/8.44 GB (0.7 MB/s)
[dl] 0.66/8.44 GB (0.7 MB/s)
[dl] 0.67/8.44 GB (0.7 MB/s)
[dl] 0.68/8.44 GB (0.7 MB/s)
