[filter] loaded 12000 raw records from runs/m0b_teacher_gen/base
[filter] length filter dropped 0; 12000 remain
[filter] 200/12000 judged, 4.8/s, kept 154, unsafe 46, err/other 0
[filter] 400/12000 judged, 5.2/s, kept 297, unsafe 103, err/other 0
[filter] 600/12000 judged, 5.5/s, kept 444, unsafe 156, err/other 0
[filter] 800/12000 judged, 5.5/s, kept 584, unsafe 216, err/other 0
[filter] 1000/12000 judged, 5.2/s, kept 705, unsafe 295, err/other 0
[filter] 1200/12000 judged, 5.0/s, kept 854, unsafe 346, err/other 0
[filter] 1400/12000 judged, 4.8/s, kept 998, unsafe 402, err/other 0
[filter] 1600/12000 judged, 4.7/s, kept 1142, unsafe 458, err/other 0
[filter] 1800/12000 judged, 4.7/s, kept 1282, unsafe 518, err/other 0
[filter] 2000/12000 judged, 4.6/s, kept 1417, unsafe 583, err/other 0
[filter] 2200/12000 judged, 4.3/s, kept 1543, unsafe 657, err/other 0
[filter] 2400/12000 judged, 4.4/s, kept 1683, unsafe 717, err/other 0
[filter] 2600/12000 judged, 4.4/s, kept 1812, unsafe 788, err/other 0
[filter] 2800/12000 judged, 4.5/s, kept 1943, unsafe 857, err/other 0
[filter] 3000/12000 judged, 4.6/s, kept 2069, unsafe 931, err/other 0
[filter] 3200/12000 judged, 4.6/s, kept 2203, unsafe 997, err/other 0
[filter] 3400/12000 judged, 4.7/s, kept 2334, unsafe 1066, err/other 0
[filter] 3600/12000 judged, 4.7/s, kept 2469, unsafe 1131, err/other 0
[filter] 3800/12000 judged, 4.7/s, kept 2603, unsafe 1197, err/other 0
[filter] 4000/12000 judged, 4.7/s, kept 2733, unsafe 1267, err/other 0
[filter] 4200/12000 judged, 4.7/s, kept 2856, unsafe 1344, err/other 0
[filter] 4400/12000 judged, 4.7/s, kept 2987, unsafe 1413, err/other 0
[filter] 4600/12000 judged, 4.6/s, kept 3128, unsafe 1472, err/other 0
[filter] 4800/12000 judged, 4.6/s, kept 3250, unsafe 1550, err/other 0
[filter] 5000/12000 judged, 4.5/s, kept 3375, unsafe 1625, err/other 0
[filter] 5200/12000 judged, 4.5/s, kept 3497, unsafe 1703, err/other 0
[filter] 5400/12000 judged, 4.5/s, kept 3633, unsafe 1767, err/other 0
[filter] 5600/12000 judged, 4.5/s, kept 3762, unsafe 1838, err/other 0
[filter] 5800/12000 judged, 4.5/s, kept 3893, unsafe 1907, err/other 0
[filter] 6000/12000 judged, 4.5/s, kept 4009, unsafe 1991, err/other 0
[filter] 6200/12000 judged, 4.5/s, kept 4154, unsafe 2046, err/other 0
[filter] 6400/12000 judged, 4.5/s, kept 4302, unsafe 2098, err/other 0
[filter] 6600/12000 judged, 4.5/s, kept 4442, unsafe 2158, err/other 0
[filter] 6800/12000 judged, 4.5/s, kept 4584, unsafe 2216, err/other 0
[filter] 7000/12000 judged, 4.5/s, kept 4725, unsafe 2275, err/other 0
[filter] 7200/12000 judged, 4.5/s, kept 4871, unsafe 2329, err/other 0
[filter] 7400/12000 judged, 4.4/s, kept 5008, unsafe 2392, err/other 0
[filter] 7600/12000 judged, 4.4/s, kept 5130, unsafe 2470, err/other 0
[filter] 7800/12000 judged, 4.4/s, kept 5254, unsafe 2546, err/other 0
[filter] 8000/12000 judged, 4.5/s, kept 5388, unsafe 2612, err/other 0
[filter] 8200/12000 judged, 4.5/s, kept 5524, unsafe 2676, err/other 0
[filter] 8400/12000 judged, 4.5/s, kept 5650, unsafe 2750, err/other 0
[filter] 8600/12000 judged, 4.5/s, kept 5781, unsafe 2819, err/other 0
[filter] 8800/12000 judged, 4.5/s, kept 5916, unsafe 2884, err/other 0
[filter] 9000/12000 judged, 4.5/s, kept 6044, unsafe 2956, err/other 0
[filter] 9200/12000 judged, 4.6/s, kept 6181, unsafe 3019, err/other 0
[filter] 9400/12000 judged, 4.6/s, kept 6307, unsafe 3093, err/other 0
[filter] 9600/12000 judged, 4.6/s, kept 6448, unsafe 3152, err/other 0
[filter] 9800/12000 judged, 4.6/s, kept 6578, unsafe 3222, err/other 0
[filter] 10000/12000 judged, 4.7/s, kept 6705, unsafe 3295, err/other 0
[filter] 10200/12000 judged, 4.7/s, kept 6830, unsafe 3370, err/other 0
[filter] 10400/12000 judged, 4.7/s, kept 6943, unsafe 3457, err/other 0
[filter] 10600/12000 judged, 4.7/s, kept 7068, unsafe 3532, err/other 0
[filter] 10800/12000 judged, 4.8/s, kept 7205, unsafe 3595, err/other 0
[filter] 11000/12000 judged, 4.8/s, kept 7325, unsafe 3675, err/other 0
[filter] 11200/12000 judged, 4.8/s, kept 7449, unsafe 3751, err/other 0
[filter] 11400/12000 judged, 4.8/s, kept 7571, unsafe 3829, err/other 0
[filter] 11600/12000 judged, 4.8/s, kept 7692, unsafe 3908, err/other 0
[filter] 11800/12000 judged, 4.9/s, kept 7813, unsafe 3987, err/other 0
[filter] 12000/12000 judged, 4.9/s, kept 7938, unsafe 4062, err/other 0
[filter] DONE. Kept 7938/12000 (rate 0.661) -> runs/m0b_teacher_gen/base_filtered.jsonl
