[filter] loaded 12000 raw records from runs/m0b_teacher_gen/treated
[filter] length filter dropped 1049; 10951 remain
[filter] 200/10951 judged, 3.6/s, kept 116, unsafe 84, err/other 0
[filter] 400/10951 judged, 3.7/s, kept 235, unsafe 165, err/other 0
[filter] 600/10951 judged, 3.7/s, kept 344, unsafe 256, err/other 0
[filter] 800/10951 judged, 3.9/s, kept 450, unsafe 350, err/other 0
[filter] 1000/10951 judged, 3.9/s, kept 546, unsafe 454, err/other 0
[filter] 1200/10951 judged, 3.6/s, kept 659, unsafe 541, err/other 0
[filter] 1400/10951 judged, 3.8/s, kept 753, unsafe 647, err/other 0
[filter] 1600/10951 judged, 3.8/s, kept 859, unsafe 741, err/other 0
[filter] 1800/10951 judged, 3.9/s, kept 960, unsafe 840, err/other 0
[filter] 2000/10951 judged, 3.9/s, kept 1061, unsafe 939, err/other 0
[filter] 2200/10951 judged, 3.9/s, kept 1162, unsafe 1038, err/other 0
[filter] 2400/10951 judged, 4.0/s, kept 1262, unsafe 1138, err/other 0
[filter] 2600/10951 judged, 4.0/s, kept 1363, unsafe 1237, err/other 0
[filter] 2800/10951 judged, 4.0/s, kept 1451, unsafe 1349, err/other 0
[filter] 3000/10951 judged, 4.0/s, kept 1543, unsafe 1457, err/other 0
[filter] 3200/10951 judged, 4.0/s, kept 1641, unsafe 1559, err/other 0
[filter] 3400/10951 judged, 4.1/s, kept 1731, unsafe 1669, err/other 0
[filter] 3600/10951 judged, 4.1/s, kept 1829, unsafe 1771, err/other 0
[filter] 3800/10951 judged, 4.0/s, kept 1921, unsafe 1879, err/other 0
[filter] 4000/10951 judged, 4.0/s, kept 2012, unsafe 1988, err/other 0
[filter] 4200/10951 judged, 4.1/s, kept 2113, unsafe 2087, err/other 0
[filter] 4400/10951 judged, 4.1/s, kept 2208, unsafe 2192, err/other 0
[filter] 4600/10951 judged, 4.2/s, kept 2311, unsafe 2289, err/other 0
[filter] 4800/10951 judged, 4.2/s, kept 2415, unsafe 2385, err/other 0
[filter] 5000/10951 judged, 4.2/s, kept 2516, unsafe 2484, err/other 0
[filter] 5200/10951 judged, 4.2/s, kept 2606, unsafe 2594, err/other 0
[filter] 5400/10951 judged, 4.2/s, kept 2705, unsafe 2695, err/other 0
[filter] 5600/10951 judged, 4.2/s, kept 2803, unsafe 2797, err/other 0
[filter] 5800/10951 judged, 4.2/s, kept 2906, unsafe 2894, err/other 0
[filter] 6000/10951 judged, 4.1/s, kept 3014, unsafe 2986, err/other 0
[filter] 6200/10951 judged, 4.2/s, kept 3115, unsafe 3085, err/other 0
[filter] 6400/10951 judged, 4.2/s, kept 3219, unsafe 3181, err/other 0
[filter] 6600/10951 judged, 4.2/s, kept 3315, unsafe 3285, err/other 0
[filter] 6800/10951 judged, 4.3/s, kept 3419, unsafe 3381, err/other 0
[filter] 7000/10951 judged, 4.3/s, kept 3518, unsafe 3482, err/other 0
[filter] 7200/10951 judged, 4.3/s, kept 3615, unsafe 3585, err/other 0
[filter] 7400/10951 judged, 4.4/s, kept 3718, unsafe 3682, err/other 0
[filter] 7600/10951 judged, 4.4/s, kept 3821, unsafe 3779, err/other 0
[filter] 7800/10951 judged, 4.4/s, kept 3918, unsafe 3882, err/other 0
[filter] 8000/10951 judged, 4.4/s, kept 4016, unsafe 3984, err/other 0
[filter] 8200/10951 judged, 4.4/s, kept 4114, unsafe 4086, err/other 0
[filter] 8400/10951 judged, 4.4/s, kept 4205, unsafe 4195, err/other 0
[filter] 8600/10951 judged, 4.4/s, kept 4306, unsafe 4294, err/other 0
[filter] 8800/10951 judged, 4.4/s, kept 4406, unsafe 4394, err/other 0
[filter] 9000/10951 judged, 4.4/s, kept 4502, unsafe 4498, err/other 0
[filter] 9200/10951 judged, 4.3/s, kept 4603, unsafe 4597, err/other 0
[filter] 9400/10951 judged, 4.3/s, kept 4691, unsafe 4709, err/other 0
[filter] 9600/10951 judged, 4.3/s, kept 4791, unsafe 4809, err/other 0
[filter] 9800/10951 judged, 4.3/s, kept 4889, unsafe 4911, err/other 0
[filter] 10000/10951 judged, 4.3/s, kept 4984, unsafe 5016, err/other 0
[filter] 10200/10951 judged, 4.4/s, kept 5084, unsafe 5116, err/other 0
[filter] 10400/10951 judged, 4.4/s, kept 5192, unsafe 5208, err/other 0
[filter] 10600/10951 judged, 4.4/s, kept 5301, unsafe 5299, err/other 0
[filter] 10800/10951 judged, 4.4/s, kept 5406, unsafe 5394, err/other 0
[filter] DONE. Kept 5480/12000 (rate 0.457) -> runs/m0b_teacher_gen/treated_filtered.jsonl
