[teacher_gen rank=1/2] loaded 12000 prompts
Loading weights:   0%|          | 0/883 [00:00<?, ?it/s]Loading weights:  55%|█████▌    | 487/883 [00:00<00:00, 4678.56it/s]Loading weights: 100%|██████████| 883/883 [00:00<00:00, 2785.43it/s]
[teacher_gen rank=1] model loaded (treated). adapter=runs/m0a_teacher_sft/teacher_tuned
[teacher_gen rank=1] processing 6000 prompts
[teacher_gen rank=1] 16/6000 done, 6.94 p/s, eta 14.4min
[teacher_gen rank=1] 96/6000 done, 7.38 p/s, eta 13.3min
[teacher_gen rank=1] 176/6000 done, 8.07 p/s, eta 12.0min
[teacher_gen rank=1] 256/6000 done, 7.88 p/s, eta 12.2min
[teacher_gen rank=1] 336/6000 done, 7.72 p/s, eta 12.2min
[teacher_gen rank=1] 416/6000 done, 8.08 p/s, eta 11.5min
[teacher_gen rank=1] 496/6000 done, 8.32 p/s, eta 11.0min
[teacher_gen rank=1] 576/6000 done, 8.55 p/s, eta 10.6min
[teacher_gen rank=1] 656/6000 done, 8.11 p/s, eta 11.0min
[teacher_gen rank=1] 736/6000 done, 7.76 p/s, eta 11.3min
[teacher_gen rank=1] 816/6000 done, 7.65 p/s, eta 11.3min
[teacher_gen rank=1] 896/6000 done, 7.87 p/s, eta 10.8min
[teacher_gen rank=1] 976/6000 done, 8.05 p/s, eta 10.4min
[teacher_gen rank=1] 1056/6000 done, 8.17 p/s, eta 10.1min
[teacher_gen rank=1] 1136/6000 done, 8.29 p/s, eta 9.8min
[teacher_gen rank=1] 1216/6000 done, 8.24 p/s, eta 9.7min
[teacher_gen rank=1] 1296/6000 done, 8.30 p/s, eta 9.4min
[teacher_gen rank=1] 1376/6000 done, 8.41 p/s, eta 9.2min
[teacher_gen rank=1] 1456/6000 done, 8.31 p/s, eta 9.1min
[teacher_gen rank=1] 1536/6000 done, 8.40 p/s, eta 8.9min
[teacher_gen rank=1] 1616/6000 done, 8.40 p/s, eta 8.7min
[teacher_gen rank=1] 1696/6000 done, 8.43 p/s, eta 8.5min
[teacher_gen rank=1] 1776/6000 done, 8.48 p/s, eta 8.3min
[teacher_gen rank=1] 1856/6000 done, 8.54 p/s, eta 8.1min
[teacher_gen rank=1] 1936/6000 done, 8.58 p/s, eta 7.9min
[teacher_gen rank=1] 2016/6000 done, 8.65 p/s, eta 7.7min
[teacher_gen rank=1] 2096/6000 done, 8.71 p/s, eta 7.5min
[teacher_gen rank=1] 2176/6000 done, 8.75 p/s, eta 7.3min
[teacher_gen rank=1] 2256/6000 done, 8.78 p/s, eta 7.1min
[teacher_gen rank=1] 2336/6000 done, 8.82 p/s, eta 6.9min
