lr,seed,arm,acc,other_rate,capability_drop_pp,collapsed
5e-6,42,treated,0.7669,0.086,-30.0,False
5e-6,200,treated,0.7331,0.113,-50.0,False
5e-6,201,treated,0.7444,0.113,-55.00000000000001,False
2e-5,42,treated,0.8008,0.034,-64.99999999999999,False
2e-5,200,treated,0.7782,0.056,-64.99999999999999,False
2e-5,201,treated,0.7744,0.045,-70.0,False
5e-5,42,treated,0.7857,0.0,-70.0,False
5e-5,200,treated,0.8158,0.0,-70.0,False
5e-5,201,treated,0.8045,0.0,-70.0,False
1e-4,42,treated,0.7857,0.0,-70.0,False
1e-4,200,treated,0.7707,0.0,-70.0,False
1e-4,201,treated,0.8008,0.0,-55.00000000000001,False
2e-4,42,treated,0.6992,0.0,-25.000000000000007,False
2e-4,200,treated,0.6842,0.0,0.0,False
2e-4,201,treated,0.7707,0.0,-35.0,False
2e-4,42,ctrlb,0.7481,0.109,0.0,False
2e-4,200,ctrlb,0.718,0.135,4.999999999999999,False
2e-4,201,ctrlb,0.7632,0.102,-10.000000000000004,False
5e-4,42,treated,0.5526,0.038,0.0,False
5e-4,200,treated,0.5602,0.0,25.0,False
5e-4,201,treated,0.5226,0.023,25.0,False
1e-3,42,treated,0.4361,0.124,25.0,False
1e-3,200,treated,0.3947,0.109,25.0,False
1e-3,201,treated,0.3797,0.184,25.0,False
1e-3,42,ctrlb,0.7105,0.139,0.0,False
1e-3,200,ctrlb,0.7068,0.143,0.0,False
1e-3,201,ctrlb,0.7707,0.098,-15.000000000000002,False
2e-3,42,treated,0.0414,0.887,20.0,True
2e-3,200,treated,0.0376,0.865,20.0,True
2e-3,201,treated,0.0451,0.887,25.0,True
