[step2] single: 10000 rows
[step2] 10000 prompts built
[step2] Loading HF model from /data/zhenqian/models/Llama-3.1-8B-Instruct
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:18<00:56, 18.99s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:38<00:39, 19.56s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:56<00:18, 18.75s/it]Loading checkpoint shards: 100%|██████████| 4/4 [01:01<00:00, 13.06s/it]Loading checkpoint shards: 100%|██████████| 4/4 [01:01<00:00, 15.27s/it]
[step2] num_layers=32  hidden_dim=4096
[step2][single] 8/10000  3.4 it/s  ETA 49.4 min
[step2][single] 168/10000  27.5 it/s  ETA 6.0 min
[step2][single] 328/10000  40.1 it/s  ETA 4.0 min
[step2][single] 488/10000  45.7 it/s  ETA 3.5 min
[step2][single] 648/10000  46.4 it/s  ETA 3.4 min
[step2][single] 808/10000  47.1 it/s  ETA 3.2 min
[step2][single] 968/10000  50.3 it/s  ETA 3.0 min
[step2][single] 1128/10000  51.2 it/s  ETA 2.9 min
[step2][single] 1288/10000  52.0 it/s  ETA 2.8 min
[step2][single] 1448/10000  54.1 it/s  ETA 2.6 min
[step2][single] 1608/10000  55.7 it/s  ETA 2.5 min
[step2][single] 1768/10000  54.8 it/s  ETA 2.5 min
[step2][single] 1928/10000  55.1 it/s  ETA 2.4 min
[step2][single] 2088/10000  55.2 it/s  ETA 2.4 min
[step2][single] 2248/10000  54.7 it/s  ETA 2.4 min
[step2][single] 2408/10000  54.4 it/s  ETA 2.3 min
[step2][single] 2568/10000  53.7 it/s  ETA 2.3 min
[step2][single] 2728/10000  54.1 it/s  ETA 2.2 min
[step2][single] 2888/10000  53.3 it/s  ETA 2.2 min
[step2][single] 3048/10000  54.1 it/s  ETA 2.1 min
[step2][single] 3208/10000  54.8 it/s  ETA 2.1 min
[step2][single] 3368/10000  56.2 it/s  ETA 2.0 min
[step2][single] 3528/10000  55.7 it/s  ETA 1.9 min
[step2][single] 3688/10000  54.8 it/s  ETA 1.9 min
[step2][single] 3848/10000  55.1 it/s  ETA 1.9 min
[step2][single] 4008/10000  55.1 it/s  ETA 1.8 min
[step2][single] 4168/10000  55.1 it/s  ETA 1.8 min
[step2][single] 4328/10000  54.6 it/s  ETA 1.7 min
[step2][single] 4488/10000  54.6 it/s  ETA 1.7 min
[step2][single] 4648/10000  54.8 it/s  ETA 1.6 min
[step2][single] 4808/10000  54.7 it/s  ETA 1.6 min
[step2][single] 4968/10000  54.5 it/s  ETA 1.5 min
[step2][single] 5128/10000  54.4 it/s  ETA 1.5 min
[step2][single] 5288/10000  54.5 it/s  ETA 1.4 min
[step2][single] 5448/10000  54.4 it/s  ETA 1.4 min
[step2][single] 5608/10000  54.9 it/s  ETA 1.3 min
[step2][single] 5768/10000  55.3 it/s  ETA 1.3 min
[step2][single] 5928/10000  54.9 it/s  ETA 1.2 min
[step2][single] 6088/10000  55.3 it/s  ETA 1.2 min
[step2][single] 6248/10000  55.2 it/s  ETA 1.1 min
[step2][single] 6408/10000  55.3 it/s  ETA 1.1 min
[step2][single] 6568/10000  55.9 it/s  ETA 1.0 min
[step2][single] 6728/10000  56.3 it/s  ETA 1.0 min
[step2][single] 6888/10000  56.4 it/s  ETA 0.9 min
[step2][single] 7048/10000  56.8 it/s  ETA 0.9 min
[step2][single] 7208/10000  56.9 it/s  ETA 0.8 min
[step2][single] 7368/10000  57.1 it/s  ETA 0.8 min
[step2][single] 7528/10000  57.1 it/s  ETA 0.7 min
[step2][single] 7688/10000  57.5 it/s  ETA 0.7 min
[step2][single] 7848/10000  57.9 it/s  ETA 0.6 min
[step2][single] 8008/10000  57.9 it/s  ETA 0.6 min
[step2][single] 8168/10000  58.1 it/s  ETA 0.5 min
[step2][single] 8328/10000  58.3 it/s  ETA 0.5 min
[step2][single] 8488/10000  58.4 it/s  ETA 0.4 min
[step2][single] 8648/10000  58.2 it/s  ETA 0.4 min
[step2][single] 8808/10000  58.3 it/s  ETA 0.3 min
[step2][single] 8968/10000  58.3 it/s  ETA 0.3 min
[step2][single] 9128/10000  58.3 it/s  ETA 0.2 min
[step2][single] 9288/10000  58.3 it/s  ETA 0.2 min
[step2][single] 9448/10000  58.5 it/s  ETA 0.2 min
[step2][single] 9608/10000  59.0 it/s  ETA 0.1 min
[step2][single] 9768/10000  59.4 it/s  ETA 0.1 min
[step2][single] 9928/10000  59.9 it/s  ETA 0.0 min
[step2] extraction done in 2.8 min
[step2] saved /data/zhenqian/Reproduction1/mechanica/belief/closing_gap_belief/artifacts/H_single.npz shape=(10000, 33, 4096)
