file,n_probe,rank_r,layer_group,seed,layer_used,heldout_lang_acc,complement_acc,principal_angle_median_cos,predicate_pass
results/m1/best_all_non_upper.npz,1000,32,all_non_upper,43,14,0.8636363636363636,0.3318181818181818,0.12646368145942688,False
results/m1/best_early.npz,250,16,early,43,6,0.9681818181818183,0.49090909090909085,0.11325528472661972,False
results/m1/best_mid.npz,500,16,mid,42,18,0.8409090909090909,0.3727272727272728,0.1579478234052658,False
results/m1/n1000_r16_all_non_upper_s42.npz,1000,16,all_non_upper,42,14,0.8636363636363636,0.34545454545454546,0.15769055485725403,False
results/m1/n1000_r16_all_non_upper_s43.npz,1000,16,all_non_upper,43,14,0.8636363636363636,0.3318181818181818,0.1329139918088913,False
results/m1/n1000_r16_all_non_upper_s44.npz,1000,16,all_non_upper,44,14,0.8318181818181817,0.35000000000000003,0.12679658830165863,False
results/m1/n1000_r16_early_s42.npz,1000,16,early,42,6,0.968181818181818,0.4363636363636363,0.11864257603883743,False
results/m1/n1000_r16_early_s43.npz,1000,16,early,43,6,0.9636363636363636,0.39545454545454545,0.11559036374092102,False
results/m1/n1000_r16_early_s44.npz,1000,16,early,44,6,0.9318181818181818,0.359090909090909,0.0914245992898941,False
results/m1/n1000_r16_mid_s42.npz,1000,16,mid,42,18,0.8363636363636363,0.35909090909090907,0.1561010777950287,False
results/m1/n1000_r16_mid_s43.npz,1000,16,mid,43,18,0.8090909090909091,0.2818181818181818,0.13219809532165527,False
results/m1/n1000_r16_mid_s44.npz,1000,16,mid,44,18,0.6636363636363636,0.3318181818181818,0.11889548599720001,False
results/m1/n1000_r1_all_non_upper_s42.npz,1000,1,all_non_upper,42,14,0.15,0.9318181818181817,0.3459102511405945,False
results/m1/n1000_r1_all_non_upper_s43.npz,1000,1,all_non_upper,43,14,0.17727272727272728,0.8999999999999999,0.25915518403053284,False
results/m1/n1000_r1_all_non_upper_s44.npz,1000,1,all_non_upper,44,14,0.17272727272727273,0.881818181818182,0.22754015028476715,False
results/m1/n1000_r1_early_s42.npz,1000,1,early,42,6,0.17272727272727273,0.9772727272727273,0.2512480616569519,False
results/m1/n1000_r1_early_s43.npz,1000,1,early,43,6,0.18181818181818182,0.95,0.079421266913414,False
results/m1/n1000_r1_early_s44.npz,1000,1,early,44,6,0.18181818181818182,0.9545454545454546,0.06868084520101547,False
results/m1/n1000_r1_mid_s42.npz,1000,1,mid,42,18,0.17272727272727273,0.9090909090909091,0.30030763149261475,False
results/m1/n1000_r1_mid_s43.npz,1000,1,mid,43,18,0.17727272727272728,0.85,0.2901756763458252,False
results/m1/n1000_r1_mid_s44.npz,1000,1,mid,44,18,0.1636363636363636,0.8727272727272727,0.16242818534374237,False
results/m1/n1000_r2_all_non_upper_s42.npz,1000,2,all_non_upper,42,14,0.35454545454545455,0.8772727272727271,0.17436917126178741,False
results/m1/n1000_r2_all_non_upper_s43.npz,1000,2,all_non_upper,43,14,0.3181818181818182,0.8636363636363634,0.1294633150100708,False
results/m1/n1000_r2_all_non_upper_s44.npz,1000,2,all_non_upper,44,14,0.3136363636363636,0.8454545454545453,0.14928103983402252,False
results/m1/n1000_r2_early_s42.npz,1000,2,early,42,6,0.34545454545454546,0.9272727272727274,0.12123939394950867,False
results/m1/n1000_r2_early_s43.npz,1000,2,early,43,6,0.3590909090909091,0.9090909090909091,0.08018212020397186,False
results/m1/n1000_r2_early_s44.npz,1000,2,early,44,6,0.3909090909090909,0.9,0.07844706624746323,False
results/m1/n1000_r2_mid_s42.npz,1000,2,mid,42,18,0.2409090909090909,0.8545454545454546,0.15594327449798584,False
results/m1/n1000_r2_mid_s43.npz,1000,2,mid,43,18,0.2590909090909091,0.8,0.10350828617811203,False
results/m1/n1000_r2_mid_s44.npz,1000,2,mid,44,18,0.24545454545454548,0.8363636363636363,0.09035391360521317,False
results/m1/n1000_r32_all_non_upper_s42.npz,1000,32,all_non_upper,42,14,0.8636363636363636,0.34545454545454546,0.125169038772583,False
results/m1/n1000_r32_all_non_upper_s43.npz,1000,32,all_non_upper,43,14,0.8636363636363636,0.3318181818181818,0.12646368145942688,False
results/m1/n1000_r32_all_non_upper_s44.npz,1000,32,all_non_upper,44,14,0.8318181818181817,0.35000000000000003,0.11972365528345108,False
results/m1/n1000_r32_early_s42.npz,1000,32,early,42,6,0.968181818181818,0.4363636363636363,0.10060730576515198,False
results/m1/n1000_r32_early_s43.npz,1000,32,early,43,6,0.9636363636363636,0.39545454545454545,0.11151965707540512,False
results/m1/n1000_r32_early_s44.npz,1000,32,early,44,6,0.9318181818181818,0.359090909090909,0.10476861894130707,False
results/m1/n1000_r32_mid_s42.npz,1000,32,mid,42,18,0.8363636363636363,0.35909090909090907,0.11429449915885925,False
results/m1/n1000_r32_mid_s43.npz,1000,32,mid,43,18,0.8090909090909091,0.2818181818181818,0.1342885047197342,False
results/m1/n1000_r32_mid_s44.npz,1000,32,mid,44,18,0.6636363636363636,0.3318181818181818,0.12945321202278137,False
