position,layer,auroc_harmfulness,auroc_refusal
t_final_instr-2,0,0.0,
t_final_instr-2,4,0.5,
t_final_instr-2,8,1.0,
t_final_instr-2,12,1.0,
t_final_instr-2,16,1.0,
t_final_instr-2,20,1.0,
t_final_instr-2,24,1.0,
t_final_instr-2,28,1.0,
t_final_instr-2,32,0.0,
t_final_instr-1,0,0.0,
t_final_instr-1,4,0.0,
t_final_instr-1,8,0.0,
t_final_instr-1,12,1.0,
t_final_instr-1,16,0.5,
t_final_instr-1,20,0.75,
t_final_instr-1,24,0.5,
t_final_instr-1,28,0.5,
t_final_instr-1,32,0.5,
t_final_instr,0,0.75,
t_final_instr,4,1.0,
t_final_instr,8,1.0,
t_final_instr,12,1.0,
t_final_instr,16,1.0,
t_final_instr,20,1.0,
t_final_instr,24,1.0,
t_final_instr,28,1.0,
t_final_instr,32,1.0,
t_post_instr-2,0,0.5,
t_post_instr-2,4,1.0,
t_post_instr-2,8,1.0,
t_post_instr-2,12,1.0,
t_post_instr-2,16,1.0,
t_post_instr-2,20,1.0,
t_post_instr-2,24,1.0,
t_post_instr-2,28,1.0,
t_post_instr-2,32,1.0,
t_post_instr-1,0,0.5,
t_post_instr-1,4,1.0,
t_post_instr-1,8,1.0,
t_post_instr-1,12,1.0,
t_post_instr-1,16,1.0,
t_post_instr-1,20,1.0,
t_post_instr-1,24,1.0,
t_post_instr-1,28,1.0,
t_post_instr-1,32,1.0,
t_post_instr,0,0.5,
t_post_instr,4,1.0,
t_post_instr,8,1.0,
t_post_instr,12,1.0,
t_post_instr,16,1.0,
t_post_instr,20,1.0,
t_post_instr,24,1.0,
t_post_instr,28,1.0,
t_post_instr,32,1.0,
