direction,alpha_raw,alpha_sigma_proj,direction_norm,sigma_proj_readout,h_readout_mean_harm,h_readout_mean_ben,refusal_rate_harm,refusal_rate_ben,mean_logp_completion_harm,rep_rate_harm
h,-0.5,-0.9336097649385275,2.948791265487671,1.5792418718338013,-0.4106200280785561,-3.3120766043663026,0.99,0.0,-0.1081040570512414,0.0
h,-1.0,-1.867219529877055,2.948791265487671,1.5792418718338013,-1.8849735939502716,-4.786445126533509,0.99,0.0,-0.11215118579566478,0.0
h,-2.0,-3.73443905975411,2.948791265487671,1.5792418718338013,-4.833709352016449,-7.735209474563598,0.99,0.0,-0.1219178275577724,0.0
h,0.0,0.0,2.948791265487671,1.5792418718338013,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10512749321758746,0.0
h,0.5,0.9336097649385275,2.948791265487671,1.5792418718338013,2.5381020390987397,-0.36336148634552956,0.99,0.01,-0.10132095962762833,0.0003278688524590164
h,1.0,1.867219529877055,2.948791265487671,1.5792418718338013,4.012457444667816,1.110991768836975,0.99,0.01,-0.10032995788380504,0.0
h,2.0,3.73443905975411,2.948791265487671,1.5792418718338013,6.961193642616272,4.059720876216889,0.99,0.01,-0.09618616132065654,0.0
r,-0.5,-0.9438727187391757,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10676084283739329,0.0
r,-1.0,-1.8877454374783513,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10440392542630433,0.0
r,-2.0,-3.7754908749567027,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10288996042683721,0.0
r,0.0,0.0,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10512749321758746,0.0
r,0.5,0.9438727187391757,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.1026669049449265,0.0
r,1.0,1.8877454374783513,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10373488003388047,0.0
r,2.0,3.7754908749567027,3.707737922668457,1.9641090631484985,1.0637490174174309,-1.8377099888026713,1.0,0.53,-0.10534703638404608,0.0
random,-0.5,-0.9336097649385275,2.948791265487671,1.5792418718338013,1.0525196385383606,-1.8489087204635144,0.99,0.01,-0.10336123434826731,0.0
random,-1.0,-1.867219529877055,2.948791265487671,1.5792418718338013,1.041370975971222,-1.8600926904380322,0.99,0.01,-0.10440300220623612,0.0
random,-2.0,-3.73443905975411,2.948791265487671,1.5792418718338013,1.0187271526455879,-1.8827303749322892,0.99,0.01,-0.10581082310527563,0.0
random,0.0,0.0,2.948791265487671,1.5792418718338013,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10512749321758746,0.0
random,0.5,0.9336097649385275,2.948791265487671,1.5792418718338013,1.0749857133626939,-1.8265154698491097,0.99,0.0,-0.10446231802925468,0.0
random,1.0,1.867219529877055,2.948791265487671,1.5792418718338013,1.0861366891860962,-1.8153291399776936,0.99,0.0,-0.10304037515074015,0.0
random,2.0,3.73443905975411,2.948791265487671,1.5792418718338013,1.108778056204319,-1.7926811236143112,0.99,0.0,-0.10561828389763832,0.0
swap,-0.5,-1.17389805475556,3.707737922668457,1.5792418718338013,0.7405581156909465,-2.1608963595330715,0.99,0.0,-0.10863486865535378,0.0
swap,-1.0,-2.34779610951112,3.707737922668457,1.5792418718338013,0.41740678884088994,-2.484061166346073,0.99,0.0,-0.10871532501652836,0.0
swap,-2.0,-4.69559221902224,3.707737922668457,1.5792418718338013,-0.22884511172771455,-3.1303160059452058,0.99,0.0,-0.10843795420601963,0.0
swap,0.0,0.0,3.707737922668457,1.5792418718338013,1.0637490174174309,-1.8377099888026713,0.99,0.01,-0.10512749321758746,0.0
swap,0.5,1.17389805475556,3.707737922668457,1.5792418718338013,1.386946241259575,-1.5145183335244656,0.99,0.01,-0.1022365602478385,0.0
swap,1.0,2.34779610951112,3.707737922668457,1.5792418718338013,1.7100804603099824,-1.1913451899588108,1.0,0.03,-0.09970334550365806,0.0
swap,2.0,4.69559221902224,3.707737922668457,1.5792418718338013,2.3563186597824095,-0.5451143238693476,1.0,0.27,-0.09403409423306584,0.0
