position,layer,auroc_harmfulness,auroc_refusal
t_final_instr-2,0,0.8155510355029586,0.8155510355029586
t_final_instr-2,1,0.8390347633136094,0.8390347633136094
t_final_instr-2,2,0.763960798816568,0.763960798816568
t_final_instr-2,3,0.842085798816568,0.842085798816568
t_final_instr-2,4,0.935465976331361,0.935465976331361
t_final_instr-2,5,0.9607988165680474,0.9607988165680474
t_final_instr-2,6,0.9563609467455622,0.9563609467455622
t_final_instr-2,7,0.9704142011834319,0.9704142011834319
t_final_instr-2,8,0.9748520710059171,0.9748520710059171
t_final_instr-2,9,0.9854844674556213,0.9854844674556213
t_final_instr-2,10,0.9921412721893491,0.9921412721893491
t_final_instr-2,11,0.9943602071005917,0.9943602071005917
t_final_instr-2,12,0.9945451183431953,0.9945451183431953
t_final_instr-2,13,0.9948224852071006,0.9948224852071006
t_final_instr-2,14,0.9955621301775148,0.9955621301775148
t_final_instr-2,15,0.9932507396449703,0.9932507396449703
t_final_instr-2,16,0.992973372781065,0.992973372781065
t_final_instr-2,17,0.9919563609467454,0.9919563609467454
t_final_instr-2,18,0.9887204142011834,0.9887204142011834
t_final_instr-2,19,0.9853920118343196,0.9853920118343196
t_final_instr-2,20,0.9880732248520709,0.9880732248520709
t_final_instr-2,21,0.985207100591716,0.985207100591716
t_final_instr-2,22,0.9858542899408285,0.9858542899408285
t_final_instr-2,23,0.9847448224852071,0.9847448224852071
t_final_instr-2,24,0.9890902366863905,0.9890902366863905
t_final_instr-2,25,0.9918639053254438,0.9918639053254438
t_final_instr-2,26,0.9907544378698225,0.9907544378698225
t_final_instr-2,27,0.9831730769230769,0.9831730769230769
t_final_instr-2,28,0.907082100591716,0.907082100591716
t_final_instr-1,0,0.8907174556213017,0.8907174556213017
t_final_instr-1,1,0.9126294378698224,0.9126294378698224
t_final_instr-1,2,0.9341715976331361,0.9341715976331361
t_final_instr-1,3,0.9591346153846154,0.9591346153846154
t_final_instr-1,4,0.9747596153846154,0.9747596153846154
t_final_instr-1,5,0.976608727810651,0.976608727810651
t_final_instr-1,6,0.9754992603550297,0.9754992603550297
t_final_instr-1,7,0.9799371301775148,0.9799371301775148
t_final_instr-1,8,0.9745747041420119,0.9745747041420119
t_final_instr-1,9,0.9525702662721893,0.9525702662721893
t_final_instr-1,10,0.9909393491124261,0.9909393491124261
t_final_instr-1,11,0.9955621301775148,0.9955621301775148
