unit,paper,system,Human,Claude Opus 5,GPT-5.6-sol,Human (z),Claude Opus 5 (z),GPT-5.6-sol (z)
1,alignet_visual,AI-Scientist,63.75,35.9,30.4,-0.587,-1.74,-1.091
2,alignet_visual,Claude Code,68.96,52.4,33.1,-0.287,-0.385,-0.863
3,alignet_visual,Mechanist,96.04,60.4,46.3,1.27,0.272,0.25
4,closing_gap_belief,AI-Scientist,59.26,59.5,49.1,-0.845,0.198,0.486
5,closing_gap_belief,Claude Code,85.93,70.1,53.3,0.689,1.068,0.84
6,closing_gap_belief,Mechanist,90.62,68.1,60.2,0.959,0.904,1.422
7,emotion_circuit,AI-Scientist,57.78,45.9,34.1,-0.93,-0.919,-0.779
8,emotion_circuit,Claude Code,82.72,56.5,32.3,0.504,-0.049,-0.931
9,emotion_circuit,Mechanist,90.12,59.0,37.8,0.93,0.157,-0.467
10,emotion_prompts,AI-Scientist,51.42,58.9,52.4,-1.296,0.149,0.764
11,emotion_prompts,Claude Code,90.66,68.0,58.5,0.961,0.896,1.278
12,emotion_prompts,Mechanist,86.06,63.0,50.9,0.696,0.485,0.637
13,encode_harmfulness_refusal,AI-Scientist,35.56,34.2,25.6,-2.208,-1.88,-1.496
14,encode_harmfulness_refusal,Claude Code,48.15,55.7,44.3,-1.484,-0.114,0.081
15,encode_harmfulness_refusal,Mechanist,67.41,61.8,56.4,-0.376,0.387,1.101
16,esmfold_mechanism,AI-Scientist,40.0,36.0,26.2,-1.952,-1.732,-1.445
17,esmfold_mechanism,Claude Code,89.38,65.4,48.1,0.887,0.682,0.401
18,esmfold_mechanism,Mechanist,92.84,64.4,61.7,1.086,0.6,1.548
19,interplm,AI-Scientist,62.96,36.6,35.7,-0.632,-1.683,-0.644
20,interplm,Claude Code,84.3,60.0,40.1,0.595,0.239,-0.273
21,interplm,Mechanist,97.78,66.5,36.1,1.37,0.773,-0.61
22,lasa_safety,AI-Scientist,41.0,39.3,24.8,-1.895,-1.461,-1.563
23,lasa_safety,Claude Code,72.41,56.3,42.6,-0.089,-0.065,-0.062
24,lasa_safety,Mechanist,79.26,49.6,43.3,0.305,-0.615,-0.003
25,llm_social_decision,AI-Scientist,83.52,46.1,36.3,0.55,-0.903,-0.594
26,llm_social_decision,Claude Code,83.15,62.6,45.9,0.529,0.452,0.216
27,llm_social_decision,Mechanist,90.37,68.3,46.5,0.944,0.92,0.266
28,multi_agent,AI-Scientist,65.83,49.1,39.3,-0.467,-0.656,-0.341
29,multi_agent,Claude Code,67.22,54.6,52.3,-0.387,-0.205,0.756
30,multi_agent,Mechanist,81.94,64.2,47.4,0.459,0.584,0.342
31,multi_modal_feature_description,AI-Scientist,56.67,53.7,60.0,-0.994,-0.279,1.405
32,multi_modal_feature_description,Claude Code,83.33,79.3,64.4,0.539,1.824,1.776
33,multi_modal_feature_description,Mechanist,93.33,79.3,54.4,1.115,1.824,0.933
34,propositional_logic_circuit,AI-Scientist,73.33,38.5,24.8,-0.036,-1.527,-1.563
35,propositional_logic_circuit,Claude Code,85.68,58.3,35.6,0.675,0.099,-0.653
36,propositional_logic_circuit,Mechanist,93.58,74.1,40.2,1.129,1.397,-0.265
37,sae_agentic_explainer,AI-Scientist,53.33,44.4,44.4,-1.186,-1.042,0.089
38,sae_agentic_explainer,Claude Code,73.33,76.3,63.0,-0.036,1.577,1.658
39,sae_agentic_explainer,Mechanist,80.0,71.1,51.1,0.348,1.15,0.654
40,thinking_reasoning_steering,AI-Scientist,65.19,44.6,30.5,-0.504,-1.026,-1.083
41,thinking_reasoning_steering,Claude Code,76.3,52.9,30.5,0.135,-0.344,-1.083
42,thinking_reasoning_steering,Mechanist,93.33,52.9,34.8,1.115,-0.344,-0.72
43,universal_steering,AI-Scientist,45.67,37.0,29.6,-1.626,-1.65,-1.158
44,universal_steering,Claude Code,62.67,48.7,27.6,-0.649,-0.689,-1.327
45,universal_steering,Mechanist,84.5,64.6,39.1,0.607,0.617,-0.357
46,verbal_confidence,AI-Scientist,41.48,54.1,31.9,-1.867,-0.246,-0.965
47,verbal_confidence,Claude Code,83.7,74.1,63.7,0.561,1.397,1.717
48,verbal_confidence,Mechanist,97.78,68.1,63.7,1.37,0.904,1.717
