paper_id,system,judge,reliability_score
closing_gap_belief,Claude Code,Human,85.93
closing_gap_belief,Mechanist,Human,90.62
closing_gap_belief,AI-Scientist,Human,59.26
llm_social_decision,Claude Code,Human,83.15
llm_social_decision,Mechanist,Human,90.37
llm_social_decision,AI-Scientist,Human,83.52
verbal_confidence,Claude Code,Human,83.7
verbal_confidence,Mechanist,Human,97.78
verbal_confidence,AI-Scientist,Human,41.48
emotion_circuit,Claude Code,Human,82.72
emotion_circuit,Mechanist,Human,90.12
emotion_circuit,AI-Scientist,Human,57.78
emotion_prompts,Claude Code,Human,90.66
emotion_prompts,Mechanist,Human,86.06
emotion_prompts,AI-Scientist,Human,51.42
multi_modal_feature_description,Claude Code,Human,83.33
multi_modal_feature_description,Mechanist,Human,93.33
multi_modal_feature_description,AI-Scientist,Human,56.67
sae_agentic_explainer,Claude Code,Human,73.33
sae_agentic_explainer,Mechanist,Human,80.0
sae_agentic_explainer,AI-Scientist,Human,53.33
multi_agent,Claude Code,Human,67.22
multi_agent,Mechanist,Human,81.94
multi_agent,AI-Scientist,Human,65.83
lasa_safety,Claude Code,Human,72.41
lasa_safety,Mechanist,Human,79.26
lasa_safety,AI-Scientist,Human,41.0
alignet_visual,Claude Code,Human,68.96
alignet_visual,Mechanist,Human,96.04
alignet_visual,AI-Scientist,Human,63.75
universal_steering,Claude Code,Human,62.67
universal_steering,Mechanist,Human,84.5
universal_steering,AI-Scientist,Human,45.67
propositional_logic_circuit,Claude Code,Human,85.68
propositional_logic_circuit,Mechanist,Human,93.58
propositional_logic_circuit,AI-Scientist,Human,73.33
thinking_reasoning_steering,Claude Code,Human,76.3
thinking_reasoning_steering,Mechanist,Human,93.33
thinking_reasoning_steering,AI-Scientist,Human,65.19
encode_harmfulness_refusal,Claude Code,Human,48.15
encode_harmfulness_refusal,Mechanist,Human,67.41
encode_harmfulness_refusal,AI-Scientist,Human,35.56
esmfold_mechanism,Claude Code,Human,89.38
esmfold_mechanism,Mechanist,Human,92.84
esmfold_mechanism,AI-Scientist,Human,40.0
interplm,Claude Code,Human,84.3
interplm,Mechanist,Human,97.78
interplm,AI-Scientist,Human,62.96
closing_gap_belief,Claude Code,LLM,53.3
closing_gap_belief,Mechanist,LLM,60.2
closing_gap_belief,AI-Scientist,LLM,49.1
verbal_confidence,Claude Code,LLM,63.7
verbal_confidence,Mechanist,LLM,63.7
verbal_confidence,AI-Scientist,LLM,31.9
llm_social_decision,Claude Code,LLM,45.9
llm_social_decision,Mechanist,LLM,46.5
llm_social_decision,AI-Scientist,LLM,36.3
emotion_circuit,Claude Code,LLM,32.3
emotion_circuit,Mechanist,LLM,37.8
emotion_circuit,AI-Scientist,LLM,34.1
emotion_prompts,Claude Code,LLM,58.5
emotion_prompts,Mechanist,LLM,50.9
emotion_prompts,AI-Scientist,LLM,52.4
multi_modal_feature_description,Claude Code,LLM,64.4
multi_modal_feature_description,Mechanist,LLM,54.4
multi_modal_feature_description,AI-Scientist,LLM,60.0
sae_agentic_explainer,Claude Code,LLM,63.0
sae_agentic_explainer,Mechanist,LLM,51.1
sae_agentic_explainer,AI-Scientist,LLM,44.4
multi_agent,Claude Code,LLM,52.3
multi_agent,Mechanist,LLM,47.4
multi_agent,AI-Scientist,LLM,39.3
lasa_safety,Claude Code,LLM,42.6
lasa_safety,Mechanist,LLM,43.3
lasa_safety,AI-Scientist,LLM,24.8
alignet_visual,Claude Code,LLM,33.1
alignet_visual,Mechanist,LLM,46.3
alignet_visual,AI-Scientist,LLM,30.4
universal_steering,Claude Code,LLM,27.6
universal_steering,Mechanist,LLM,39.1
universal_steering,AI-Scientist,LLM,29.6
propositional_logic_circuit,Claude Code,LLM,35.6
propositional_logic_circuit,Mechanist,LLM,40.2
propositional_logic_circuit,AI-Scientist,LLM,24.8
thinking_reasoning_steering,Claude Code,LLM,30.5
thinking_reasoning_steering,Mechanist,LLM,34.8
thinking_reasoning_steering,AI-Scientist,LLM,30.5
encode_harmfulness_refusal,Claude Code,LLM,44.3
encode_harmfulness_refusal,Mechanist,LLM,56.4
encode_harmfulness_refusal,AI-Scientist,LLM,25.6
esmfold_mechanism,Claude Code,LLM,48.1
esmfold_mechanism,Mechanist,LLM,61.7
esmfold_mechanism,AI-Scientist,LLM,26.2
interplm,Claude Code,LLM,40.1
interplm,Mechanist,LLM,36.1
interplm,AI-Scientist,LLM,35.7
