judge,category,system,n_cells,mean_score,ci95_low,ci95_high
Human,belief,Claude Code,3,84.26,83.15,85.93
Human,belief,AI-Scientist,3,61.42,41.48,83.52
Human,belief,Mechanist,3,92.92,90.37,97.78
Human,emotion,Claude Code,2,86.69,82.72,90.66
Human,emotion,AI-Scientist,2,54.6,51.42,57.78
Human,emotion,Mechanist,2,88.09,86.06,90.12
Human,feature_description,Claude Code,2,78.33,73.33,83.33
Human,feature_description,AI-Scientist,2,55.0,53.33,56.67
Human,feature_description,Mechanist,2,86.66,80.0,93.33
Human,multi-agent_safety,Claude Code,1,67.22,67.22,67.22
Human,multi-agent_safety,AI-Scientist,1,65.83,65.83,65.83
Human,multi-agent_safety,Mechanist,1,81.94,81.94,81.94
Human,multilingual,Claude Code,1,72.41,72.41,72.41
Human,multilingual,AI-Scientist,1,41.0,41.0,41.0
Human,multilingual,Mechanist,1,79.26,79.26,79.26
Human,multimodal,Claude Code,2,65.81,62.67,68.96
Human,multimodal,AI-Scientist,2,54.71,45.67,63.75
Human,multimodal,Mechanist,2,90.27,84.5,96.04
Human,reasoning,Claude Code,2,80.99,76.3,85.68
Human,reasoning,AI-Scientist,2,69.26,65.19,73.33
Human,reasoning,Mechanist,2,93.45,93.33,93.58
Human,safety,Claude Code,1,48.15,48.15,48.15
Human,safety,AI-Scientist,1,35.56,35.56,35.56
Human,safety,Mechanist,1,67.41,67.41,67.41
Human,science,Claude Code,2,86.84,84.3,89.38
Human,science,AI-Scientist,2,51.48,40.0,62.96
Human,science,Mechanist,2,95.31,92.84,97.78
LLM,belief,Claude Code,3,68.93,62.6,74.1
LLM,belief,AI-Scientist,3,53.23,46.1,59.5
LLM,belief,Mechanist,3,68.17,68.1,68.3
LLM,emotion,Claude Code,2,62.25,56.5,68.0
LLM,emotion,AI-Scientist,2,52.4,45.9,58.9
LLM,emotion,Mechanist,2,61.0,59.0,63.0
LLM,feature_description,Claude Code,2,77.8,76.3,79.3
LLM,feature_description,AI-Scientist,2,49.05,44.4,53.7
LLM,feature_description,Mechanist,2,75.2,71.1,79.3
LLM,multi-agent_safety,Claude Code,1,54.6,54.6,54.6
LLM,multi-agent_safety,AI-Scientist,1,49.1,49.1,49.1
LLM,multi-agent_safety,Mechanist,1,64.2,64.2,64.2
LLM,multilingual,Claude Code,1,56.3,56.3,56.3
LLM,multilingual,AI-Scientist,1,39.3,39.3,39.3
LLM,multilingual,Mechanist,1,49.6,49.6,49.6
LLM,multimodal,Claude Code,2,50.55,48.7,52.4
LLM,multimodal,AI-Scientist,2,36.45,35.9,37.0
LLM,multimodal,Mechanist,2,62.5,60.4,64.6
LLM,reasoning,Claude Code,2,55.6,52.9,58.3
LLM,reasoning,AI-Scientist,2,41.55,38.5,44.6
LLM,reasoning,Mechanist,2,63.5,52.9,74.1
LLM,safety,Claude Code,1,55.7,55.7,55.7
LLM,safety,AI-Scientist,1,34.2,34.2,34.2
LLM,safety,Mechanist,1,61.8,61.8,61.8
LLM,science,Claude Code,2,62.7,60.0,65.4
LLM,science,AI-Scientist,2,36.3,36.0,36.6
LLM,science,Mechanist,2,65.45,64.4,66.5
