experiment,system,judge,macro_dim,score
closing_gap_belief,Claude Code,Human,Data usage,80.0
closing_gap_belief,Claude Code,Human,Experiment design,85.0
closing_gap_belief,Claude Code,Human,Experiment execution,100.0
closing_gap_belief,Claude Code,Human,Result analysis,86.67
closing_gap_belief,Mechanist,Human,Data usage,90.0
closing_gap_belief,Mechanist,Human,Experiment design,86.65
closing_gap_belief,Mechanist,Human,Experiment execution,100.0
closing_gap_belief,Mechanist,Human,Result analysis,93.33
closing_gap_belief,AI-Scientist,Human,Data usage,60.0
closing_gap_belief,AI-Scientist,Human,Experiment design,68.35
closing_gap_belief,AI-Scientist,Human,Experiment execution,60.0
closing_gap_belief,AI-Scientist,Human,Result analysis,55.53
llm_social_decision,Claude Code,Human,Data usage,90.0
llm_social_decision,Claude Code,Human,Experiment design,82.5
llm_social_decision,Claude Code,Human,Experiment execution,80.0
llm_social_decision,Claude Code,Human,Result analysis,85.0
llm_social_decision,Mechanist,Human,Data usage,70.0
llm_social_decision,Mechanist,Human,Experiment design,97.5
llm_social_decision,Mechanist,Human,Experiment execution,100.0
llm_social_decision,Mechanist,Human,Result analysis,90.0
llm_social_decision,AI-Scientist,Human,Data usage,80.0
llm_social_decision,AI-Scientist,Human,Experiment design,93.75
llm_social_decision,AI-Scientist,Human,Experiment execution,80.0
llm_social_decision,AI-Scientist,Human,Result analysis,80.0
verbal_confidence,Claude Code,Human,Data usage,70.0
verbal_confidence,Claude Code,Human,Experiment design,85.0
verbal_confidence,Claude Code,Human,Experiment execution,100.0
verbal_confidence,Claude Code,Human,Result analysis,86.67
verbal_confidence,Mechanist,Human,Data usage,100.0
verbal_confidence,Mechanist,Human,Experiment design,95.0
verbal_confidence,Mechanist,Human,Experiment execution,100.0
verbal_confidence,Mechanist,Human,Result analysis,100.0
verbal_confidence,AI-Scientist,Human,Data usage,50.0
verbal_confidence,AI-Scientist,Human,Experiment design,25.0
verbal_confidence,AI-Scientist,Human,Experiment execution,50.0
verbal_confidence,AI-Scientist,Human,Result analysis,46.67
emotion_circuit,Claude Code,Human,Data usage,100.0
emotion_circuit,Claude Code,Human,Experiment design,63.35
emotion_circuit,Claude Code,Human,Experiment execution,100.0
emotion_circuit,Claude Code,Human,Result analysis,73.33
emotion_circuit,Mechanist,Human,Data usage,100.0
emotion_circuit,Mechanist,Human,Experiment design,76.65
emotion_circuit,Mechanist,Human,Experiment execution,90.0
emotion_circuit,Mechanist,Human,Result analysis,88.87
emotion_circuit,AI-Scientist,Human,Data usage,50.0
emotion_circuit,AI-Scientist,Human,Experiment design,40.0
emotion_circuit,AI-Scientist,Human,Experiment execution,80.0
emotion_circuit,AI-Scientist,Human,Result analysis,46.67
emotion_prompts,Claude Code,Human,Data usage,100.0
emotion_prompts,Claude Code,Human,Experiment design,94.8
emotion_prompts,Claude Code,Human,Experiment execution,90.0
emotion_prompts,Claude Code,Human,Result analysis,81.93
emotion_prompts,Mechanist,Human,Data usage,90.0
emotion_prompts,Mechanist,Human,Experiment design,75.0
emotion_prompts,Mechanist,Human,Experiment execution,85.0
emotion_prompts,Mechanist,Human,Result analysis,86.13
emotion_prompts,AI-Scientist,Human,Data usage,25.0
emotion_prompts,AI-Scientist,Human,Experiment design,47.5
emotion_prompts,AI-Scientist,Human,Experiment execution,60.0
emotion_prompts,AI-Scientist,Human,Result analysis,43.07
multi_modal_feature_description,Claude Code,Human,Data usage,70.0
multi_modal_feature_description,Claude Code,Human,Experiment design,86.67
multi_modal_feature_description,Claude Code,Human,Experiment execution,80.0
multi_modal_feature_description,Claude Code,Human,Result analysis,80.0
multi_modal_feature_description,Mechanist,Human,Data usage,80.0
multi_modal_feature_description,Mechanist,Human,Experiment design,93.33
multi_modal_feature_description,Mechanist,Human,Experiment execution,100.0
multi_modal_feature_description,Mechanist,Human,Result analysis,93.33
multi_modal_feature_description,AI-Scientist,Human,Data usage,50.0
multi_modal_feature_description,AI-Scientist,Human,Experiment design,33.33
multi_modal_feature_description,AI-Scientist,Human,Experiment execution,80.0
multi_modal_feature_description,AI-Scientist,Human,Result analysis,53.33
sae_agentic_explainer,Claude Code,Human,Data usage,70.0
sae_agentic_explainer,Claude Code,Human,Experiment design,66.67
sae_agentic_explainer,Claude Code,Human,Experiment execution,80.0
sae_agentic_explainer,Claude Code,Human,Result analysis,60.0
sae_agentic_explainer,Mechanist,Human,Data usage,100.0
sae_agentic_explainer,Mechanist,Human,Experiment design,66.67
sae_agentic_explainer,Mechanist,Human,Experiment execution,70.0
sae_agentic_explainer,Mechanist,Human,Result analysis,73.33
sae_agentic_explainer,AI-Scientist,Human,Data usage,50.0
sae_agentic_explainer,AI-Scientist,Human,Experiment design,46.67
sae_agentic_explainer,AI-Scientist,Human,Experiment execution,50.0
sae_agentic_explainer,AI-Scientist,Human,Result analysis,60.0
multi_agent,Claude Code,Human,Data usage,70.0
multi_agent,Claude Code,Human,Experiment design,73.33
multi_agent,Claude Code,Human,Experiment execution,60.0
multi_agent,Claude Code,Human,Result analysis,57.8
multi_agent,Mechanist,Human,Data usage,90.0
multi_agent,Mechanist,Human,Experiment design,68.87
multi_agent,Mechanist,Human,Experiment execution,90.0
multi_agent,Mechanist,Human,Result analysis,66.67
multi_agent,AI-Scientist,Human,Data usage,50.0
multi_agent,AI-Scientist,Human,Experiment design,53.33
multi_agent,AI-Scientist,Human,Experiment execution,60.0
multi_agent,AI-Scientist,Human,Result analysis,66.67
lasa_safety,Claude Code,Human,Data usage,65.0
lasa_safety,Claude Code,Human,Experiment design,71.25
lasa_safety,Claude Code,Human,Experiment execution,70.0
lasa_safety,Claude Code,Human,Result analysis,80.0
lasa_safety,Mechanist,Human,Data usage,75.0
lasa_safety,Mechanist,Human,Experiment design,77.5
lasa_safety,Mechanist,Human,Experiment execution,80.0
lasa_safety,Mechanist,Human,Result analysis,86.67
lasa_safety,AI-Scientist,Human,Data usage,50.0
lasa_safety,AI-Scientist,Human,Experiment design,37.5
lasa_safety,AI-Scientist,Human,Experiment execution,30.0
lasa_safety,AI-Scientist,Human,Result analysis,48.33
alignet_visual,Claude Code,Human,Data usage,80.0
alignet_visual,Claude Code,Human,Experiment design,63.33
alignet_visual,Claude Code,Human,Experiment execution,60.0
alignet_visual,Claude Code,Human,Result analysis,75.0
alignet_visual,Mechanist,Human,Data usage,100.0
alignet_visual,Mechanist,Human,Experiment design,91.67
alignet_visual,Mechanist,Human,Experiment execution,100.0
alignet_visual,Mechanist,Human,Result analysis,90.0
alignet_visual,AI-Scientist,Human,Data usage,80.0
alignet_visual,AI-Scientist,Human,Experiment design,56.67
alignet_visual,AI-Scientist,Human,Experiment execution,40.0
alignet_visual,AI-Scientist,Human,Result analysis,53.33
universal_steering,Claude Code,Human,Data usage,40.0
universal_steering,Claude Code,Human,Experiment design,46.0
universal_steering,Claude Code,Human,Experiment execution,70.0
universal_steering,Claude Code,Human,Result analysis,73.33
universal_steering,Mechanist,Human,Data usage,80.0
universal_steering,Mechanist,Human,Experiment design,73.0
universal_steering,Mechanist,Human,Experiment execution,100.0
universal_steering,Mechanist,Human,Result analysis,85.33
universal_steering,AI-Scientist,Human,Data usage,20.0
universal_steering,AI-Scientist,Human,Experiment design,48.0
universal_steering,AI-Scientist,Human,Experiment execution,40.0
universal_steering,AI-Scientist,Human,Result analysis,41.33
propositional_logic_circuit,Claude Code,Human,Data usage,60.0
propositional_logic_circuit,Claude Code,Human,Experiment design,96.65
propositional_logic_circuit,Claude Code,Human,Experiment execution,100.0
propositional_logic_circuit,Claude Code,Human,Result analysis,82.2
propositional_logic_circuit,Mechanist,Human,Data usage,80.0
propositional_logic_circuit,Mechanist,Human,Experiment design,96.65
propositional_logic_circuit,Mechanist,Human,Experiment execution,100.0
propositional_logic_circuit,Mechanist,Human,Result analysis,86.67
propositional_logic_circuit,AI-Scientist,Human,Data usage,60.0
propositional_logic_circuit,AI-Scientist,Human,Experiment design,70.0
propositional_logic_circuit,AI-Scientist,Human,Experiment execution,80.0
propositional_logic_circuit,AI-Scientist,Human,Result analysis,73.33
thinking_reasoning_steering,Claude Code,Human,Data usage,80.0
thinking_reasoning_steering,Claude Code,Human,Experiment design,75.0
thinking_reasoning_steering,Claude Code,Human,Experiment execution,80.0
thinking_reasoning_steering,Claude Code,Human,Result analysis,80.0
thinking_reasoning_steering,Mechanist,Human,Data usage,80.0
thinking_reasoning_steering,Mechanist,Human,Experiment design,95.0
thinking_reasoning_steering,Mechanist,Human,Experiment execution,100.0
thinking_reasoning_steering,Mechanist,Human,Result analysis,86.67
thinking_reasoning_steering,AI-Scientist,Human,Data usage,60.0
thinking_reasoning_steering,AI-Scientist,Human,Experiment design,65.0
thinking_reasoning_steering,AI-Scientist,Human,Experiment execution,60.0
thinking_reasoning_steering,AI-Scientist,Human,Result analysis,73.33
encode_harmfulness_refusal,Claude Code,Human,Data usage,50.0
encode_harmfulness_refusal,Claude Code,Human,Experiment design,44.0
encode_harmfulness_refusal,Claude Code,Human,Experiment execution,40.0
encode_harmfulness_refusal,Claude Code,Human,Result analysis,61.33
encode_harmfulness_refusal,Mechanist,Human,Data usage,70.0
encode_harmfulness_refusal,Mechanist,Human,Experiment design,62.0
encode_harmfulness_refusal,Mechanist,Human,Experiment execution,60.0
encode_harmfulness_refusal,Mechanist,Human,Result analysis,77.33
encode_harmfulness_refusal,AI-Scientist,Human,Data usage,50.0
encode_harmfulness_refusal,AI-Scientist,Human,Experiment design,41.0
encode_harmfulness_refusal,AI-Scientist,Human,Experiment execution,20.0
encode_harmfulness_refusal,AI-Scientist,Human,Result analysis,32.0
esmfold_mechanism,Claude Code,Human,Data usage,80.0
esmfold_mechanism,Claude Code,Human,Experiment design,83.35
esmfold_mechanism,Claude Code,Human,Experiment execution,100.0
esmfold_mechanism,Claude Code,Human,Result analysis,93.33
esmfold_mechanism,Mechanist,Human,Data usage,90.0
esmfold_mechanism,Mechanist,Human,Experiment design,85.0
esmfold_mechanism,Mechanist,Human,Experiment execution,100.0
esmfold_mechanism,Mechanist,Human,Result analysis,88.87
esmfold_mechanism,AI-Scientist,Human,Data usage,20.0
esmfold_mechanism,AI-Scientist,Human,Experiment design,35.0
esmfold_mechanism,AI-Scientist,Human,Experiment execution,30.0
esmfold_mechanism,AI-Scientist,Human,Result analysis,50.0
interplm,Claude Code,Human,Data usage,80.0
interplm,Claude Code,Human,Experiment design,78.0
interplm,Claude Code,Human,Experiment execution,100.0
interplm,Claude Code,Human,Result analysis,81.33
interplm,Mechanist,Human,Data usage,100.0
interplm,Mechanist,Human,Experiment design,91.65
interplm,Mechanist,Human,Experiment execution,100.0
interplm,Mechanist,Human,Result analysis,91.13
interplm,AI-Scientist,Human,Data usage,60.0
interplm,AI-Scientist,Human,Experiment design,64.0
interplm,AI-Scientist,Human,Experiment execution,40.0
interplm,AI-Scientist,Human,Result analysis,68.0
closing_gap_belief,Claude Code,LLM,Data usage,70.0
closing_gap_belief,Claude Code,LLM,Experiment design,65.0
closing_gap_belief,Claude Code,LLM,Experiment execution,70.0
closing_gap_belief,Claude Code,LLM,Result analysis,77.8
closing_gap_belief,Mechanist,LLM,Data usage,60.0
closing_gap_belief,Mechanist,LLM,Experiment design,65.0
closing_gap_belief,Mechanist,LLM,Experiment execution,80.0
closing_gap_belief,Mechanist,LLM,Result analysis,73.33
closing_gap_belief,AI-Scientist,LLM,Data usage,70.0
closing_gap_belief,AI-Scientist,LLM,Experiment design,48.35
closing_gap_belief,AI-Scientist,LLM,Experiment execution,70.0
closing_gap_belief,AI-Scientist,LLM,Result analysis,57.8
verbal_confidence,Claude Code,LLM,Data usage,80.0
verbal_confidence,Claude Code,LLM,Experiment design,70.0
verbal_confidence,Claude Code,LLM,Experiment execution,80.0
verbal_confidence,Claude Code,LLM,Result analysis,66.67
verbal_confidence,Mechanist,LLM,Data usage,70.0
verbal_confidence,Mechanist,LLM,Experiment design,55.0
verbal_confidence,Mechanist,LLM,Experiment execution,80.0
verbal_confidence,Mechanist,LLM,Result analysis,66.67
verbal_confidence,AI-Scientist,LLM,Data usage,50.0
verbal_confidence,AI-Scientist,LLM,Experiment design,45.0
verbal_confidence,AI-Scientist,LLM,Experiment execution,70.0
verbal_confidence,AI-Scientist,LLM,Result analysis,53.33
llm_social_decision,Claude Code,LLM,Data usage,70.0
llm_social_decision,Claude Code,LLM,Experiment design,63.75
llm_social_decision,Claude Code,LLM,Experiment execution,70.0
llm_social_decision,Claude Code,LLM,Result analysis,51.67
llm_social_decision,Mechanist,LLM,Data usage,50.0
llm_social_decision,Mechanist,LLM,Experiment design,71.25
llm_social_decision,Mechanist,LLM,Experiment execution,80.0
llm_social_decision,Mechanist,LLM,Result analysis,73.33
llm_social_decision,AI-Scientist,LLM,Data usage,40.0
llm_social_decision,AI-Scientist,LLM,Experiment design,55.0
llm_social_decision,AI-Scientist,LLM,Experiment execution,50.0
llm_social_decision,AI-Scientist,LLM,Result analysis,41.67
emotion_circuit,Claude Code,LLM,Data usage,70.0
emotion_circuit,Claude Code,LLM,Experiment design,46.65
emotion_circuit,Claude Code,LLM,Experiment execution,60.0
emotion_circuit,Claude Code,LLM,Result analysis,53.33
emotion_circuit,Mechanist,LLM,Data usage,80.0
emotion_circuit,Mechanist,LLM,Experiment design,53.3
emotion_circuit,Mechanist,LLM,Experiment execution,50.0
emotion_circuit,Mechanist,LLM,Result analysis,53.33
emotion_circuit,AI-Scientist,LLM,Data usage,50.0
emotion_circuit,AI-Scientist,LLM,Experiment design,40.0
emotion_circuit,AI-Scientist,LLM,Experiment execution,40.0
emotion_circuit,AI-Scientist,LLM,Result analysis,46.67
emotion_prompts,Claude Code,LLM,Data usage,80.0
emotion_prompts,Claude Code,LLM,Experiment design,65.0
emotion_prompts,Claude Code,LLM,Experiment execution,70.0
emotion_prompts,Claude Code,LLM,Result analysis,65.0
emotion_prompts,Mechanist,LLM,Data usage,60.0
emotion_prompts,Mechanist,LLM,Experiment design,62.5
emotion_prompts,Mechanist,LLM,Experiment execution,60.0
emotion_prompts,Mechanist,LLM,Result analysis,70.0
emotion_prompts,AI-Scientist,LLM,Data usage,60.0
emotion_prompts,AI-Scientist,LLM,Experiment design,53.75
emotion_prompts,AI-Scientist,LLM,Experiment execution,40.0
emotion_prompts,AI-Scientist,LLM,Result analysis,58.33
multi_modal_feature_description,Claude Code,LLM,Data usage,90.0
multi_modal_feature_description,Claude Code,LLM,Experiment design,75.0
multi_modal_feature_description,Claude Code,LLM,Experiment execution,70.0
multi_modal_feature_description,Claude Code,LLM,Result analysis,80.0
multi_modal_feature_description,Mechanist,LLM,Data usage,70.0
multi_modal_feature_description,Mechanist,LLM,Experiment design,77.5
multi_modal_feature_description,Mechanist,LLM,Experiment execution,80.0
multi_modal_feature_description,Mechanist,LLM,Result analysis,83.33
multi_modal_feature_description,AI-Scientist,LLM,Data usage,60.0
multi_modal_feature_description,AI-Scientist,LLM,Experiment design,57.5
multi_modal_feature_description,AI-Scientist,LLM,Experiment execution,50.0
multi_modal_feature_description,AI-Scientist,LLM,Result analysis,40.0
sae_agentic_explainer,Claude Code,LLM,Data usage,70.0
sae_agentic_explainer,Claude Code,LLM,Experiment design,75.0
sae_agentic_explainer,Claude Code,LLM,Experiment execution,70.0
sae_agentic_explainer,Claude Code,LLM,Result analysis,80.0
sae_agentic_explainer,Mechanist,LLM,Data usage,70.0
sae_agentic_explainer,Mechanist,LLM,Experiment design,70.0
sae_agentic_explainer,Mechanist,LLM,Experiment execution,70.0
sae_agentic_explainer,Mechanist,LLM,Result analysis,66.67
sae_agentic_explainer,AI-Scientist,LLM,Data usage,40.0
sae_agentic_explainer,AI-Scientist,LLM,Experiment design,40.0
sae_agentic_explainer,AI-Scientist,LLM,Experiment execution,40.0
sae_agentic_explainer,AI-Scientist,LLM,Result analysis,53.33
multi_agent,Claude Code,LLM,Data usage,50.0
multi_agent,Claude Code,LLM,Experiment design,58.3
multi_agent,Claude Code,LLM,Experiment execution,50.0
multi_agent,Claude Code,LLM,Result analysis,53.33
multi_agent,Mechanist,LLM,Data usage,60.0
multi_agent,Mechanist,LLM,Experiment design,63.35
multi_agent,Mechanist,LLM,Experiment execution,60.0
multi_agent,Mechanist,LLM,Result analysis,66.67
multi_agent,AI-Scientist,LLM,Data usage,40.0
multi_agent,AI-Scientist,LLM,Experiment design,50.0
multi_agent,AI-Scientist,LLM,Experiment execution,40.0
multi_agent,AI-Scientist,LLM,Result analysis,55.53
lasa_safety,Claude Code,LLM,Data usage,50.0
lasa_safety,Claude Code,LLM,Experiment design,62.5
lasa_safety,Claude Code,LLM,Experiment execution,50.0
lasa_safety,Claude Code,LLM,Result analysis,63.33
lasa_safety,Mechanist,LLM,Data usage,40.0
lasa_safety,Mechanist,LLM,Experiment design,57.5
lasa_safety,Mechanist,LLM,Experiment execution,50.0
lasa_safety,Mechanist,LLM,Result analysis,56.67
lasa_safety,AI-Scientist,LLM,Data usage,50.0
lasa_safety,AI-Scientist,LLM,Experiment design,37.5
lasa_safety,AI-Scientist,LLM,Experiment execution,30.0
lasa_safety,AI-Scientist,LLM,Result analysis,36.67
alignet_visual,Claude Code,LLM,Data usage,50.0
alignet_visual,Claude Code,LLM,Experiment design,50.0
alignet_visual,Claude Code,LLM,Experiment execution,50.0
alignet_visual,Claude Code,LLM,Result analysis,58.33
alignet_visual,Mechanist,LLM,Data usage,60.0
alignet_visual,Mechanist,LLM,Experiment design,71.25
alignet_visual,Mechanist,LLM,Experiment execution,50.0
alignet_visual,Mechanist,LLM,Result analysis,55.0
alignet_visual,AI-Scientist,LLM,Data usage,40.0
alignet_visual,AI-Scientist,LLM,Experiment design,42.5
alignet_visual,AI-Scientist,LLM,Experiment execution,30.0
alignet_visual,AI-Scientist,LLM,Result analysis,20.0
universal_steering,Claude Code,LLM,Data usage,40.0
universal_steering,Claude Code,LLM,Experiment design,59.0
universal_steering,Claude Code,LLM,Experiment execution,40.0
universal_steering,Claude Code,LLM,Result analysis,53.33
universal_steering,Mechanist,LLM,Data usage,70.0
universal_steering,Mechanist,LLM,Experiment design,64.0
universal_steering,Mechanist,LLM,Experiment execution,50.0
universal_steering,Mechanist,LLM,Result analysis,69.33
universal_steering,AI-Scientist,LLM,Data usage,20.0
universal_steering,AI-Scientist,LLM,Experiment design,44.0
universal_steering,AI-Scientist,LLM,Experiment execution,20.0
universal_steering,AI-Scientist,LLM,Result analysis,34.67
propositional_logic_circuit,Claude Code,LLM,Data usage,50.0
propositional_logic_circuit,Claude Code,LLM,Experiment design,56.25
propositional_logic_circuit,Claude Code,LLM,Experiment execution,70.0
propositional_logic_circuit,Claude Code,LLM,Result analysis,63.33
propositional_logic_circuit,Mechanist,LLM,Data usage,70.0
propositional_logic_circuit,Mechanist,LLM,Experiment design,62.5
propositional_logic_circuit,Mechanist,LLM,Experiment execution,80.0
propositional_logic_circuit,Mechanist,LLM,Result analysis,83.33
propositional_logic_circuit,AI-Scientist,LLM,Data usage,40.0
propositional_logic_circuit,AI-Scientist,LLM,Experiment design,40.0
propositional_logic_circuit,AI-Scientist,LLM,Experiment execution,40.0
propositional_logic_circuit,AI-Scientist,LLM,Result analysis,26.67
thinking_reasoning_steering,Claude Code,LLM,Data usage,50.0
thinking_reasoning_steering,Claude Code,LLM,Experiment design,58.0
thinking_reasoning_steering,Claude Code,LLM,Experiment execution,40.0
thinking_reasoning_steering,Claude Code,LLM,Result analysis,58.67
thinking_reasoning_steering,Mechanist,LLM,Data usage,60.0
thinking_reasoning_steering,Mechanist,LLM,Experiment design,52.0
thinking_reasoning_steering,Mechanist,LLM,Experiment execution,40.0
thinking_reasoning_steering,Mechanist,LLM,Result analysis,60.0
thinking_reasoning_steering,AI-Scientist,LLM,Data usage,40.0
thinking_reasoning_steering,AI-Scientist,LLM,Experiment design,47.0
thinking_reasoning_steering,AI-Scientist,LLM,Experiment execution,30.0
thinking_reasoning_steering,AI-Scientist,LLM,Result analysis,52.0
encode_harmfulness_refusal,Claude Code,LLM,Data usage,40.0
encode_harmfulness_refusal,Claude Code,LLM,Experiment design,59.0
encode_harmfulness_refusal,Claude Code,LLM,Experiment execution,60.0
encode_harmfulness_refusal,Claude Code,LLM,Result analysis,62.67
encode_harmfulness_refusal,Mechanist,LLM,Data usage,70.0
encode_harmfulness_refusal,Mechanist,LLM,Experiment design,52.0
encode_harmfulness_refusal,Mechanist,LLM,Experiment execution,60.0
encode_harmfulness_refusal,Mechanist,LLM,Result analysis,66.67
encode_harmfulness_refusal,AI-Scientist,LLM,Data usage,50.0
