judge,macro_dim,system,n_cells,mean_score,ci95_low,ci95_high
Human,Data usage,Claude Code,16,74.06,65.94,81.25
Human,Data usage,AI-Scientist,16,50.94,42.5,59.38
Human,Data usage,Mechanist,16,87.19,81.88,92.5
Human,Experiment design,Claude Code,16,74.68,67.35,81.58
Human,Experiment design,AI-Scientist,16,51.57,43.89,60.18
Human,Experiment design,Mechanist,16,83.26,77.28,88.53
Human,Experiment execution,Claude Code,16,81.88,73.11,90.0
Human,Experiment execution,AI-Scientist,16,53.75,44.38,62.52
Human,Experiment execution,Mechanist,16,92.19,85.94,97.81
Human,Result analysis,Claude Code,16,77.37,72.31,82.07
Human,Result analysis,AI-Scientist,16,55.72,49.71,62.08
Human,Result analysis,Mechanist,16,86.52,82.55,90.2
LLM,Data usage,Claude Code,16,61.25,54.38,68.75
LLM,Data usage,AI-Scientist,16,45.0,39.38,50.62
LLM,Data usage,Mechanist,16,63.75,58.75,68.12
LLM,Experiment design,Claude Code,16,62.03,58.22,65.74
LLM,Experiment design,AI-Scientist,16,43.68,40.02,47.55
LLM,Experiment design,Mechanist,16,62.93,59.15,66.58
LLM,Experiment execution,Claude Code,16,60.62,55.0,66.25
LLM,Experiment execution,AI-Scientist,16,40.62,34.38,47.5
LLM,Experiment execution,Mechanist,16,63.12,56.88,69.38
LLM,Result analysis,Claude Code,16,63.6,59.48,68.3
LLM,Result analysis,AI-Scientist,16,42.12,36.0,47.88
LLM,Result analysis,Mechanist,16,67.3,62.95,71.79
