类别,实验,sci,n,placeholder,总分(0-100),原始总分,满分基准,d1,d2,d3,d4,d5,d6,d7,d8,前8小计,dim9_method,dim9_exp,dim9_result,dim9最终
belief,closing_gap_belief,s1,1,,85.93,38.67,45.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,34.0,4.67,4.33,5.0,4.67
belief,closing_gap_belief,s2,1,,90.62,40.78,45.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,36.0,5.0,4.33,5.0,4.78
belief,closing_gap_belief,s3,1,,59.26,26.67,45.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,23.0,4.67,3.0,3.33,3.67
belief,llm_social_decision,s1,1,,83.15,37.42,45.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,33.0,5.0,3.5,4.75,4.42
belief,llm_social_decision,s2,1,,90.37,40.67,45.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,36.0,5.0,4.5,4.5,4.67
belief,llm_social_decision,s3,1,,83.52,37.58,45.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,33.0,5.0,3.75,5.0,4.58
belief,verbal_confidence,s1,1,,83.7,37.67,45.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,33.0,5.0,4.0,5.0,4.67
belief,verbal_confidence,s2,1,,97.78,44.0,45.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,39.0,5.0,5.0,5.0,5.0
belief,verbal_confidence,s3,1,,41.48,18.67,45.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,17.0,1.0,2.0,2.0,1.67
emotion,emotion_circuit,s1,1,,82.72,37.22,45.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,34.0,3.67,3.0,3.0,3.22
emotion,emotion_circuit,s2,1,,90.12,40.56,45.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,37.0,4.33,3.0,3.33,3.56
emotion,emotion_circuit,s3,1,,57.78,26.0,45.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,25.0,1.0,1.0,1.0,1.0
emotion,emotion_prompts,s1,2,,90.66,36.42,40.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,37.0,4.75,4.21,4.29,4.42
emotion,emotion_prompts,s2,2,,86.06,33.81,40.0,5.0,5.0,3.5,4.0,4.0,1.0,5.0,5.0,32.5,5.0,4.0,3.92,4.31
emotion,emotion_prompts,s3,2,,51.42,20.15,40.0,1.0,5.0,2.0,1.5,1.5,1.0,3.5,4.0,19.5,2.04,1.46,1.46,1.65
feature_description,multi_modal_feature_description,s1,1,,83.33,33.33,40.0,3.0,5.0,3.0,4.0,5.0,,5.0,5.0,30.0,4.0,4.0,2.0,3.33
feature_description,multi_modal_feature_description,s2,1,,93.33,37.33,40.0,3.0,5.0,5.0,5.0,5.0,,5.0,5.0,33.0,4.0,5.0,4.0,4.33
feature_description,multi_modal_feature_description,s3,1,,56.67,22.67,40.0,2.0,1.0,3.0,3.0,2.0,,5.0,5.0,21.0,2.0,2.0,1.0,1.67
feature_description,sae_agentic_explainer,s1,1,,73.33,29.33,40.0,4.0,5.0,5.0,3.0,5.0,,2.0,3.0,27.0,2.0,3.0,2.0,2.33
feature_description,sae_agentic_explainer,s2,1,,80.0,32.0,40.0,5.0,4.0,4.0,5.0,5.0,,3.0,3.0,29.0,4.0,2.0,3.0,3.0
feature_description,sae_agentic_explainer,s3,1,,53.33,21.33,40.0,2.0,2.0,2.0,3.0,3.0,,4.0,3.0,19.0,3.0,2.0,2.0,2.33
multi-agent_safety,multi_agent,s1,1,,67.22,26.89,40.0,4.0,5.0,1.0,3.0,1.0,,5.0,5.0,24.0,4.0,2.0,2.67,2.89
multi-agent_safety,multi_agent,s2,1,,81.94,32.78,40.0,5.0,5.0,4.0,4.0,2.0,,5.0,5.0,30.0,4.0,1.33,3.0,2.78
multi-agent_safety,multi_agent,s3,1,,65.83,26.33,40.0,4.0,5.0,1.0,1.0,4.0,,5.0,5.0,25.0,2.0,1.0,1.0,1.33
multilingual,lasa_safety,s1,2,,72.41,32.58,45.0,3.0,4.5,2.5,3.5,3.0,3.0,5.0,4.5,29.0,3.25,3.5,4.0,3.58
multilingual,lasa_safety,s2,2,,79.26,35.67,45.0,4.0,4.0,3.5,3.5,4.0,3.0,5.0,4.5,31.5,4.5,4.0,4.0,4.17
multilingual,lasa_safety,s3,2,,41.0,17.42,42.5,3.0,2.0,2.0,2.0,2.5,1.5,3.0,1.0,17.0,2.0,2.0,1.75,1.92
multilingual,multi_lingual_reasoning,s1,1,,49.07,22.08,45.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,20.0,2.5,1.75,2.0,2.08
multilingual,multi_lingual_reasoning,s2,1,,47.04,21.17,45.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,19.0,2.25,1.5,2.75,2.17
multilingual,multi_lingual_reasoning,s3,1,,36.11,16.25,45.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,15.0,1.75,0.75,1.25,1.25
multimodal,alignet_visual,s1,1,,68.96,27.58,40.0,3.0,2.0,2.0,5.0,3.0,,5.0,4.0,24.0,4.25,3.25,3.25,3.58
multimodal,alignet_visual,s2,1,,96.04,38.42,40.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,34.0,4.5,4.25,4.5,4.42
multimodal,alignet_visual,s3,1,,63.75,25.5,40.0,5.0,5.0,2.0,3.0,4.0,,3.0,2.0,24.0,1.75,1.75,1.0,1.5
multimodal,universal_steering,s1,1,,62.67,25.07,40.0,,3.0,2.0,2.0,4.0,2.0,5.0,5.0,23.0,2.2,2.0,2.0,2.07
multimodal,universal_steering,s2,1,,84.5,33.8,40.0,,4.0,5.0,4.0,4.0,3.0,5.0,5.0,30.0,4.8,2.8,3.8,3.8
multimodal,universal_steering,s3,1,,45.67,18.27,40.0,,3.0,2.0,1.0,3.0,4.0,2.0,2.0,17.0,1.2,1.4,1.2,1.27
reasoning,propositional_logic_circuit,s1,1,,85.68,38.56,45.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,34.0,5.0,4.33,4.33,4.56
