类别,实验,sci,n,总分(0-100),原始总分,满分基准,d1,d2,d3,d4,d5,d6,d7,d8,前8小计,dim9_method,dim9_exp,dim9_result,dim9最终
belief,closing_gap_belief,s1,1,70.1,31.56,45.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,28.0,4.0,3.0,3.67,3.56
belief,closing_gap_belief,s2,1,68.1,30.67,45.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,27.0,4.0,3.0,4.0,3.67
belief,closing_gap_belief,s3,1,59.5,26.78,45.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,24.0,3.0,2.67,2.67,2.78
belief,verbal_confidence,s1,1,74.1,33.33,45.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,30.0,4.0,3.0,3.0,3.33
belief,verbal_confidence,s2,1,68.1,30.67,45.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,28.0,4.0,2.0,2.0,2.67
belief,verbal_confidence,s3,1,54.1,24.33,45.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,22.0,2.0,2.0,3.0,2.33
belief,llm_social_decision,s1,1,62.6,28.17,45.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,25.0,3.75,3.0,2.75,3.17
belief,llm_social_decision,s2,1,68.3,30.75,45.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,27.0,4.25,3.0,4.0,3.75
belief,llm_social_decision,s3,1,46.1,20.75,45.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,18.0,3.5,2.5,2.25,2.75
emotion,emotion_circuit,s1,1,56.5,25.44,45.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,23.0,3.33,2.0,2.0,2.44
emotion,emotion_circuit,s2,1,59.0,26.56,45.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,24.0,2.33,2.33,3.0,2.56
emotion,emotion_circuit,s3,1,45.9,20.67,45.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,19.0,1.33,1.67,2.0,1.67
emotion,emotion_prompts,s1,1,68.0,30.58,45.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,27.0,4.0,3.0,3.75,3.58
emotion,emotion_prompts,s2,1,63.0,28.33,45.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,25.0,3.75,2.75,3.5,3.33
emotion,emotion_prompts,s3,1,58.9,26.5,45.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,25.0,1.75,1.0,1.75,1.5
feature_description,multi_modal_feature_description,s1,1,79.3,35.67,45.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,32.0,4.0,3.0,4.0,3.67
feature_description,multi_modal_feature_description,s2,1,79.3,35.67,45.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,32.0,4.5,3.0,3.5,3.67
feature_description,multi_modal_feature_description,s3,1,53.7,24.17,45.0,4.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,22.0,3.0,1.5,2.0,2.17
feature_description,sae_agentic_explainer,s1,1,76.3,34.33,45.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,31.0,4.0,3.0,3.0,3.33
feature_description,sae_agentic_explainer,s2,1,71.1,32.0,45.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,29.0,4.0,2.0,3.0,3.0
feature_description,sae_agentic_explainer,s3,1,44.4,20.0,45.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,18.0,2.0,2.0,2.0,2.0
multi-agent_safety,multi_agent,s1,1,54.6,24.56,45.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,22.0,2.33,2.33,3.0,2.56
multi-agent_safety,multi_agent,s2,1,64.2,28.89,45.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,26.0,3.0,2.67,3.0,2.89
multi-agent_safety,multi_agent,s3,1,49.1,22.11,45.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,20.0,2.67,1.33,2.33,2.11
multilingual,lasa_safety,s1,1,56.3,25.33,45.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,22.0,3.5,3.0,3.5,3.33
multilingual,lasa_safety,s2,1,49.6,22.33,45.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,19.0,3.5,3.0,3.5,3.33
multilingual,lasa_safety,s3,1,39.3,17.67,45.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,16.0,2.0,1.5,1.5,1.67
multilingual,multi_lingual_reasoning,s1,1,50.2,22.58,45.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,20.0,3.25,1.75,2.75,2.58
multilingual,multi_lingual_reasoning,s2,1,59.8,26.92,45.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,24.0,3.0,2.5,3.25,2.92
multilingual,multi_lingual_reasoning,s3,1,52.8,23.75,45.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,22.0,2.5,1.25,1.5,1.75
multimodal,alignet_visual,s1,1,52.4,23.58,45.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,21.0,2.75,2.25,2.75,2.58
multimodal,alignet_visual,s2,1,60.4,27.17,45.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,24.0,3.75,2.5,3.25,3.17
multimodal,alignet_visual,s3,1,35.9,16.17,45.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,15.0,1.25,1.25,1.0,1.17
multimodal,universal_steering,s1,1,48.7,21.93,45.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,19.0,3.8,2.0,3.0,2.93
multimodal,universal_steering,s2,1,64.6,29.07,45.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,26.0,3.4,2.4,3.4,3.07
multimodal,universal_steering,s3,1,37.0,16.67,45.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,16.0,0.4,0.4,1.2,0.67
reasoning,propositional_logic_circuit,s1,1,58.3,26.25,45.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,23.0,3.75,2.5,3.5,3.25
reasoning,propositional_logic_circuit,s2,1,74.1,33.33,45.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,30.0,3.5,3.0,3.5,3.33
reasoning,propositional_logic_circuit,s3,1,38.5,17.33,45.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,16.0,2.0,1.0,1.0,1.33
